Iteration,xn,E
1,[-3;3.33333333333333],1.33333333333333
2,[-2.33333333333333;2.88888888888889],0.285714285714286
3,[-1.88888888888889;2.59259259259259],0.235294117647059
4,[-1.59259259259259;2.39506172839506],0.186046511627907
5,[-1.39506172839506;2.26337448559671],0.141592920353982
6,[-1.26337448559671;2.17558299039781],0.104234527687296
7,[-1.17558299039781;2.11705532693187],0.0746791131855308
8,[-1.11705532693187;2.07803688462125],0.0523945968072045
9,[-1.07803688462125;2.0520245897475],0.0361939770959987
10,[-1.0520245897475;2.03468305983166],0.0247259380885693
11,[-1.03468305983166;2.02312203988778],0.0167602337266969
12,[-1.02312203988778;2.01541469325852],0.0112997467488398
13,[-1.01541469325852;2.01027646217235],0.00759034380773604
14,[-1.01027646217235;2.00685097478156],0.00508596535558597
15,[-1.00685097478156;2.00456731652104],0.00340217914724185
16,[-1.00456731652104;2.00304487768069],0.00227327549181039
17,[-1.00304487768069;2.0020299184538],0.0015178172724115
18,[-1.0020299184538;2.0013532789692],0.001012903116171
19,[-1.0013532789692;2.00090218597946],0.000675725040113206
20,[-1.00090218597946;2.00060145731964],0.000450686386793038
